#-------------------------------------------
# Food Diary Report - Detailed Report,"Saturday, August 1, 2020","Monday, August 31, 2020"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1133,49.82,108.43,51
Breakfast,319,22.12,9.29,20.4
Lunch,304,10.48,42.79,11.6
Dinner,239,12.73,22.32,9.77
Snacks/Other,270,4.49,34.02,9.23

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Saturday, August 1, 2020",1552,72.96,26.798,167.25,16.09,66.67,63.68,2040.12,120,1899
 Breakfast,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
 Lunch,541,18.91,1.164,78.24,12.49,10.53,18.66,1113.12,0,265
  Whole Wheat Bread,337,5.34,1.164,61.28,5.7,7.14,11.87,689,0,265
   130 g
  Lantana Yellow Lentil Hummus,204,13.57,,16.96,6.79,3.39,6.79,424.12,0,
   95 g
 Dinner,718,38.19,16.533,66.95,3.6,30.47,29.31,732,71,936
  Bagel,193,1.22,0.295,37.88,1.6,3.79,7.52,336,0,56
   75 g
  Butter,72,8.11,5.137,0.01,0,0.01,0.08,1,22,2
"   2 pats (1"" sq, 1/3"" high)"
  Whole Milk,293,15.86,9.101,22.06,0,25.67,15.71,195,49,698
   2 cups
  Essential Everyday Dry Roasted Peanuts,160,13,2,7,2,1,6,200,0,180
"   1/4 cup, 28 g"
 Snacks/Other,,,,,,,,,,

"Sunday, August 2, 2020",1438,44.96,18.948,153.37,11.06,75.6,62.74,1290.78,703.59,1402
 Breakfast,256,18.97,7.216,1.16,0,1.16,18.91,211,645,202
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Butter,36,4.06,2.568,0,0,0,0.04,1,11,1
"   1 pat (1"" sq, 1/3"" high)"
 Lunch,372,12.53,3.861,50.14,5.06,7.19,16.14,553.62,18,129
  Bagel,193,1.22,0.295,37.88,1.6,3.79,7.52,336,0,56
   75 g
  Swiss Cheese,76,5.56,3.556,1.08,0,0.26,5.39,38,18,15
   20 g
  Lantana Yellow Lentil Hummus,86,5.72,,7.14,2.86,1.43,2.86,178.62,0,
   40 g
  Red Onions,17,0.03,0.01,4.04,0.6,1.71,0.37,1,0,58
   40 g
 Dinner,,,,,,,,,,
 Snacks/Other,810,13.46,7.871,102.07,6,67.25,27.69,526.16,40.59,1071
   Beer,322,0,0,26.62,0,0,3.45,30,0,202
   25 fl oz
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"
  Whole Milk,146,7.93,4.551,11.03,0,12.83,7.86,98,24,349
   1 cup
  Daisy 4% Small Curd Cottage Cheese,122,5.53,3.32,4.42,0,4.42,14.38,398.16,16.59,
   125 g
  Dole California Whole Pitted Dates,110,0,0,30,3,25,1,0,0,260
"   5-6 dates, 40 g"

"Monday, August 3, 2020",409,31.54,15.013,4.66,0.7,2.55,26.58,263,681,774
 Breakfast,409,31.54,15.013,4.66,0.7,2.55,26.58,263,681,774
  Butter,102,11.52,7.294,0.01,0,0.01,0.12,2,31,3
   1 tbsp
  Egg,220,14.91,4.648,1.16,0,1.16,18.87,210,634,201
   3 large
  Coffee,7,0.14,0.014,0.28,0,0,0.85,14,0,334
   3 mugs (8 fl oz)
  Swiss Cheese,65,4.73,3.022,0.91,0,0.22,4.58,33,16,13
   17 g
  Mushrooms,15,0.24,0.035,2.3,0.7,1.16,2.16,4,0,223
   1 cup pieces or slices
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

Total,3399,149.46,60.759,325.28,27.85,144.82,153,3593.9,1504.59,4075
